city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
宝鸡,宝鸡,121,5165.0,5379.264462809917,58.0,110.0
丹东,丹东,118,5094.5,5605.974576271186,40.0,87.3
京山,京山,60,5070.5,4979.133333333333,53.5,109.5
荆门,荆门,120,5066.5,4905.858333333334,55.0,115.0
漯河,漯河,117,5055.0,5081.521367521367,54.0,115.0
梧州,梧州,119,5051.0,4901.075630252101,58.0,112.0
怀化,怀化,120,4992.0,5557.483333333334,58.9,118.0
兴安盟,兴安盟,101,4986.0,5018.940594059406,50.0,90.0
开平,开平,117,4918.0,5096.205128205128,49.8,105.0
临夏,临夏,116,4907.0,4834.198275862069,97.5,213.745
