,area_m2,total_price_10k_yuan,unit_price_yuan_m2,bedrooms,living_rooms,building_age
area_m2,1.0,0.510318548675714,0.014571403006393471,0.7682984926929087,0.5052938115911645,-0.047327024915177554
total_price_10k_yuan,0.510318548675714,1.0,0.7955899805112008,0.3757637460447862,0.26996966677561074,0.06873503001294921
unit_price_yuan_m2,0.014571403006393471,0.7955899805112008,1.0,0.0186653741417529,0.057464079001475946,0.15144191389002612
bedrooms,0.7682984926929087,0.3757637460447862,0.0186653741417529,1.0,0.5399952368749267,-0.10634383649087863
living_rooms,0.5052938115911645,0.26996966677561074,0.057464079001475946,0.5399952368749267,1.0,-0.16944383285859554
building_age,-0.047327024915177554,0.06873503001294921,0.15144191389002612,-0.10634383649087863,-0.16944383285859554,1.0
